"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"Solar Winds","Solar Winds","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Valiant","Valiant","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Masters of Flight","Masters of Flight","serie di livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Interstellar Cartography Center","Interstellar Cartography Center","organizzazioni","mantenere","Nome canonico dell'ente abbreviato ICC"
"Charting the Way Ahead","Charting the Way Ahead","slogan ICC","mantenere","Slogan canonico dell'Interstellar Cartography Center"
"Splinter","Splinter","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Skullcrusher","Skullcrusher","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ironweave","Ironweave","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Shroud","Shroud","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Best in Show","Best in Show","livree celebrative","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Dying Star","Dying Star","mappe e livree","mantenere","Nome proprio canonico usato per una mappa di Arena Commander e per una livrea"
"Elysium","Elysium","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Cypress","Cypress","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Mistwalker","Mistwalker","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Coalfire","Coalfire","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ghoulish Green","Ghoulish Green","livree del Giorno della Vara","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Hawthorn","Hawthorn","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Saurian","Saurian","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Skull and Crossbones","Skull and Crossbones","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Destiny","Destiny","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Deadlock Camo","Deadlock Camo","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Elysian","Elysian","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Torchbearer","Torchbearer","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Darkrift","Darkrift","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Dust Devil","Dust Devil","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Whirlwind","Whirlwind","varianti di equipaggiamento e livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Slipstream","Slipstream","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Turbocharged","Turbocharged","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Overdrive","Overdrive","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Finish Line","Finish Line","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Blackout","Blackout (livrea); Oscuramento (missione o stato operativo)","livree e comunicazioni","contestuale","Mantenere Blackout come nome canonico della livrea; tradurre come Oscuramento quando indica l'interruzione intenzionale delle comunicazioni"
"Vector","Vector","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Eventide","Eventide","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Downpour","Downpour","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Harlequin","Harlequin","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Shadow Gild","Shadow Gild","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Desert Dusk","Desert Dusk","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Black Magic","Black Magic","livree del Giorno della Vara","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Red Skies","Red Skies","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Burnout","Burnout","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Peninsula","Peninsula","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Sovereign","Sovereign","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Stormburst","Stormburst","nomi propri e modelli","mantenere","Nome canonico usato per una livrea e per la bomba S5 di Firestorm Kinetics"
"Whiteout","Whiteout","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Avalanche","Avalanche","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Red Alert","Red Alert","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Blight","Blight","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Shock Force","Shock Force","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Stinger","Stinger","veicoli Esperia e livree","mantenere","Nome canonico del veicolo Esperia e della livrea Scorpius; non tradurre"
"Storm Cloud","Storm Cloud","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Sunburn","Sunburn","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Tiburon","Tiburon","veicoli Aegis","mantenere","Nome canonico della cannoniera pesante Aegis"
"Thunderhead","Thunderhead","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Carbon Black","Carbon Black","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Nightshift","Nightshift","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Monsoon","Monsoon","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Cobalt","Cobalt","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Foreman","Foreman","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Tectonic","Tectonic","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Safety Orange","Safety Orange","livree da lavoro","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Lionheart","Lionheart","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Granite","Granite","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ironside","Ironside","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Cold Snap","Cold Snap","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Purple Haze","Purple Haze","livree del Giorno della Vara","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Garnet","Garnet","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Assembly","Assembly","livree industriali","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Heartthrob","Heartthrob","livree Coramor","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Carnival","Carnival","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Pyrite","Pyrite","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Longhorn","Longhorn","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Oriole","Oriole","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Woodland","Woodland","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Storm Surge","Storm Surge","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Grab Eat!","Grab Eat!","slogan commerciali","mantenere","Motto canonico di Big Benny"
"Whammer's","Whammer's","marchi","nome_proprio","Marchio commerciale canonico"
"Big Benny's","Big Benny's","marchi","nome_proprio","Marchio commerciale canonico"
"Star Kitten","Star Kitten","marchi e personaggi","nome_proprio","Nome canonico del marchio e della serie animata dedicata a Sally"
"Ellroy's","Ellroy's","marchi","nome_proprio","Marchio commerciale canonico"
"Sharktooth","Sharktooth","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Beachhead","Beachhead","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Marauder","Marauder","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Sea Serpent","Sea Serpent","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Triton Camo","Triton Camo","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ironcore","Ironcore","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Commando Camo","Commando Camo","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"JetPack","Propulsore dorsale","equipaggiamento EVA","tradurre","Sistema personale di propulsione montato sulla schiena"
"Kilian Blue","Kilian Blue","livree militari","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Corin Camo","Corin Camo","livree militari","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ironheart","Ironheart","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Simoom","Simoom","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Tigerveil","Tigerveil","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Silva","Silva","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Heartseeker","Heartseeker","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Canopy Camo","Canopy Camo","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Shikari","Shikari","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Quicksand","Quicksand","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ironscale","Ironscale","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Icebound","Icebound","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Black Heron","Black Heron","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Orange Heron","Orange Heron","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"White Heron","White Heron","livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Monocular Rangefinder","Telemetro monoculare","ottiche","tradurre","Strumento ottico a un solo oculare per misurare la distanza"
"Rangefinder","Telemetro","ottiche","tradurre","Strumento per misurare la distanza di un bersaglio"
"Projection Sight","Mirino a proiezione","ottiche","tradurre","Mirino che proietta un indicatore del bersaglio"
"Holographic","Olografico","ottiche","tradurre","Tipologia di mirino"
"Telescopic","Telescopico","ottiche","tradurre","Tipologia di mirino con ingrandimento"
"Aim Time","Tempo di mira","ottiche","tradurre","Tempo necessario a portare l'arma in mira"
"Snowfall","Snowfall","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Tactical","Tactical","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Forest","Forest","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Deadfall","Deadfall","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"One Empire","One Empire","iniziative dell'UEE","mantenere","Nome canonico dell'iniziativa governativa celebrata dall'edizione speciale S-38"
"Scorched","Scorched","varianti di equipaggiamento e livree","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Magazine Size","Capacità caricatore","armi personali","tradurre","Numero di cartucce contenute nel caricatore"
"Purgatory Camo","Purgatory Camo","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Blacklist","Blacklist","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Sniper Rifle","Fucile di precisione","armi personali","tradurre","Fucile progettato per il tiro preciso a lunga distanza"
"Effective Range","Gittata efficace","armi","tradurre","Distanza entro cui l'arma mantiene un'efficacia pratica"
"Rime","Rime","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Archangel","Archangel","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Evergreen","Evergreen","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Legendary Bounty Hunters","Cacciatori di taglie leggendari","linee di equipaggiamento","tradurre","Linea speciale dedicata a celebri cacciatori di taglie"
"Stoneface","Faccia di pietra","soprannomi","tradurre","Soprannome di Farook Norris"
"Concussion Grenade","Granata stordente","granate","tradurre","Ordigno non letale che disorienta e neutralizza i bersagli"
"EMP Grenade","Granata EMP","granate","tradurre","Ordigno che genera un impulso elettromagnetico"
"Frag Grenade","Granata a frammentazione","granate","tradurre","Ordigno antiuomo che disperde frammenti letali"
"Force Propulsion Grenade","Granata a spinta cinetica","granate","tradurre","Ordigno non letale che allontana i bersagli con un impulso di forza"
"HMG","Mitragliatrice pesante","armi personali","tradurre","Arma automatica pesante destinata al fuoco di supporto"
"Area of Effect","Area d'effetto","armi","tradurre","Raggio entro cui un ordigno produce i propri effetti"
"Damage Type","Tipo di danno","armi","tradurre","Categoria del danno inflitto"
"Grenade Launcher","Lanciagranate","armi personali","tradurre","Arma destinata al lancio di granate"
"Thunderclap","Thunderclap","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ashfall","Ashfall","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Copperhead","Copperhead","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Quite Useful","Quite Useful","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Umber","Umber","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Midnight","Midnight","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Nightstalker","Nightstalker","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Executive Edition","Executive Edition","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Warhawk","Warhawk","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Epoque","Epoque","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Iron Sight","Mire metalliche","armi personali","tradurre","Organi di mira meccanici privi di ottiche"
"Desert Shadow","Desert Shadow","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Stormfall","Stormfall","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Boneyard","Boneyard","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ballistic Cannon","Cannone balistico","armamenti dei veicoli","tradurre","Cannone che impiega proiettili fisici"
"Ballistic Autocannon","Cannone automatico balistico","armamenti dei veicoli","tradurre","Cannone balistico dotato di tiro automatico"
"Gimbal Mount","Supporto cardanico","supporti per armi","tradurre","Supporto orientabile che consente il puntamento adattivo"
"Point Defense","Difesa di punto","sistemi difensivi","tradurre","Sistema ravvicinato che intercetta missili, siluri e altre minacce veloci"
"Missile PDC","Difesa di punto missilistica","sistemi difensivi","tradurre","Sistema di difesa di punto basato su piccoli missili"
"Torpedo Launcher","Lanciatore siluri","armamenti dei veicoli","tradurre","Complesso destinato al lancio di siluri"
"Anti-Aircraft Turret","Torretta contraerea","difese terrestri","tradurre","Torretta progettata per colpire bersagli aerei"
"Missile Turret","Torretta missilistica","difese terrestri","tradurre","Torretta dotata di missili"
"Area Denial Ordnance","Ordigno di interdizione d'area","mine","tradurre","Dispositivo concepito per impedire l'accesso a una zona"
"Laser Mine","Mina laser","mine","tradurre","Mina attivata dall'interruzione di un raggio laser"
"Distortion Cannon","Cannone a distorsione","armamenti dei veicoli","tradurre","Arma non letale progettata per disattivare i sistemi delle navi"
"Distortion Repeater","Ripetitore a distorsione","armamenti dei veicoli","tradurre","Arma a distorsione con elevata cadenza di tiro"
"Dual Mount","Supporto doppio","supporti per armi","tradurre","Supporto predisposto per due armi o componenti"
"Ballistic Gatling","Mitragliatrice balistica a canne rotanti","armamenti dei veicoli","tradurre","Arma balistica automatica con più canne rotanti"
"Ballistic Repeater","Ripetitore balistico","armamenti dei veicoli","tradurre","Arma balistica a elevata cadenza di tiro"
"Torrent","Torrente","nomi di armamenti","tradurre","Soprannome del sistema di difesa di punto MRX"
"Buzzsaw","Sega circolare","nomi di armamenti","tradurre","Soprannome del ripetitore SW16BR1"
"Sawbuck","Cavalletto","nomi di armamenti","tradurre","Soprannome del ripetitore SW16BR2"
"Shredder","Trituratore","nomi di armamenti","tradurre","Soprannome del ripetitore SW16BR3"
"Laser Cannon","Cannone laser","armamenti dei veicoli","tradurre","Cannone che impiega energia laser"
"Laser Autocannon","Cannone automatico laser","armamenti dei veicoli","tradurre","Cannone laser dotato di tiro automatico"
"Defense Division","Defense Division","organizzazioni e varianti","mantenere","Nome canonico dell'unità di Alliance Aid e delle edizioni commemorative collegate"
"Assault Rifle","Fucile d'assalto","armi personali","tradurre","Fucile individuale a fuoco selettivo o automatico"
"Blackguard","Blackguard","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Metro Camo","Metro Camo","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Dominion Camo","Dominion Camo","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Augustus","Augusto","nomi di armamenti","tradurre","Soprannome storico attribuito dagli ingegneri Amon & Reese all'Omnisky XVIII"
"Laser Repeater","Ripetitore laser","armamenti dei veicoli","tradurre","Arma energetica laser a elevata cadenza di tiro"
"Bulldog","Bulldog","nomi di armamenti","mantenere","Nome di razza d'uso corrente anche in italiano e soprannome del CF-117"
"Badger","Tasso","nomi di armamenti","tradurre","Soprannome animale del CF-227"
"Panther","Pantera","nomi di armamenti","tradurre","Soprannome animale del CF-337"
"Rhino","Rinoceronte","nomi di armamenti","tradurre","Soprannome animale del CF-447"
"Galdereen","Galdereen","nomi di armamenti","mantenere","Nome proprio di una creatura dell'universo di gioco e soprannome del CF-557"
"Mammoth","Mammut","nomi di armamenti","tradurre","Soprannome animale del CF-667"
"Gallant","Gallant","modelli di armamenti","mantenere","Nome canonico del fucile energetico Klaus & Werner"
"Battery Size","Capacità batteria","armi energetiche","tradurre","Numero di colpi disponibili con una batteria carica"
"Red Dot Sight","Mirino a punto rosso","ottiche","tradurre","Mirino che proietta un punto rosso sul punto di mira"
"Conviction Camo","Conviction Camo","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Redline","Redline","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Arrowhead","Arrowhead","modelli di armamenti","mantenere","Nome canonico del fucile di precisione energetico Klaus & Werner"
"Lamplighter","Lamplighter","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Voyager","Voyager","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Executive","Executive","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Pathfinder","esplorazione (ruolo); Apripista (variante); Pathfinder (missile)","ruoli dei veicoli e equipaggiamento","contestuale","Tradurre come esplorazione nelle schede ruolo, come Apripista nelle varianti creative; mantenere per il missile Behring Pathfinder"
"Arclight","Arclight","modelli di armamenti","mantenere","Nome canonico della pistola energetica Klaus & Werner"
"Glimmer","Glimmer","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Herrero","Herrero","varianti di equipaggiamento","mantenere","Nome proprio non inglese della variante incisa dell'Arclight"
"Demeco","Demeco","modelli di armamenti","mantenere","Nome canonico della mitragliatrice leggera energetica Klaus & Werner"
"Ultraviolet","Ultraviolet","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Touchstone","Touchstone","modelli di ottiche","mantenere","Nome canonico dello schermo ottico 8x Klaus & Werner"
"Jaeger","Jaeger","modelli di ottiche","mantenere","Nome canonico della gamma di ottiche HG e RD Klaus & Werner"
"Basara","Basara","modelli di ottiche","mantenere","Nome canonico della gamma di ottiche telescopiche TS Klaus & Werner"
"Attachment Point","Punto d'aggancio","equipaggiamento","tradurre","Sede sulla quale viene installato un accessorio"
"Monitor","Schermo","ottiche","tradurre","Dispositivo ottico che mostra l'immagine su uno schermo"
"Mass Driver Cannon","Cannone ad accelerazione di massa","armamenti dei veicoli","tradurre","Cannone elettromagnetico che accelera proiettili dotati di massa"
"Railgun","Cannone a rotaia","armamenti","contestuale","Nel testo esteso tradurre; nelle categorie tecniche compatte conservare Railgun"
"Sledge","Sledge","modelli di armamenti","mantenere","Nome canonico della gamma di cannoni ad accelerazione di massa Klaus & Werner"
"Destroyer","Destroyer","modelli di armamenti","mantenere","Nome canonico del cannone ad accelerazione di massa S10 per Idris"
"Lumin V","Lumin V","modelli di armamenti","mantenere","Nome canonico del mitra energetico Klaus & Werner"
"Interval Autofire","Fuoco automatico intervallato","modalità di fuoco","tradurre","Modalità che alterna raffiche automatiche di cinque colpi a brevi pause"
"Valor","Valor","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Rapid Traversal Device","Dispositivo di attraversamento rapido","mobilità personale","tradurre","Espansione italiana della sigla di prodotto RTD"
"Kagi RTD","Kagi RTD","modelli di equipaggiamento","mantenere","Nome canonico dell'accessorio di mobilità per Arclight II"
"Flashlight","Torcia","accessori per armi","tradurre","Dispositivo sottocanna per illuminare"
"Laser Pointer","Puntatore laser","accessori per armi","tradurre","Dispositivo sottocanna che proietta un punto o un fascio laser"
"Spread","Dispersione","armi e accessori","tradurre","Ampiezza della rosata dei colpi"
"Brightspot","Brightspot","modelli di equipaggiamento","mantenere","Nome canonico della torcia sottocanna Klaus & Werner"
"Tracer","Tracer","modelli di equipaggiamento","mantenere","Nome canonico del puntatore laser Klaus & Werner"
"Coda","Coda","modelli di armamenti","mantenere","Nome canonico della pistola balistica Kastak Arms"
"Hand Cannon","Cannone tascabile","armi personali","tradurre","Soprannome informale della potente pistola Coda"
"Ascension","Ascension","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Nighthawk","Nighthawk","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Big Boss","Big Boss","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Scalpel","Scalpel","modelli di armamenti","mantenere","Nome canonico del fucile di precisione a doppia canna Kastak Arms"
"Permafrost","Permafrost","varianti di equipaggiamento","mantenere","Termine d'uso corrente anche in italiano per varianti blu e grigie"
"Karna","Karna","modelli di armamenti","mantenere","Nome canonico del fucile d'assalto al plasma Kastak Arms"
"Rager","Rager","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Fate","Fate","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Brimstone","Brimstone","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Alpine Sunset","Alpine Sunset","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Custodian","Custodian","modelli di armamenti","mantenere","Nome canonico del mitra energetico Kastak Arms"
"Foundry's Fire","Foundry's Fire","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Citizen's Pride","Citizen's Pride","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ravager-212 Twin","Ravager-212 doppio","modelli di armamenti","traduzione parziale","Ravager-212 resta il modello canonico; Twin descrive la configurazione a due canne"
"Bright Star","Bright Star","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Devastator","Devastator","modelli di armamenti","mantenere","Nome canonico del fucile a pompa al plasma Kastak Arms"
"Starchaser","Starchaser","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
